link,movie_name,ranking,score,score_num,
,,,,,
https://movie.douban.com/subject/1301509/,修女也疯狂,1301509,8,74934,
,,,,,
https://movie.douban.com/subject/1296078/,断头谷,1296078,7.6,80826,
,,,,,
https://movie.douban.com/subject/3652302/,爱情无线牵,3652302,6.6,81865,
,,,,,
https://movie.douban.com/subject/1474180/,触不到的恋人,1474180,7.7,78617,
,,,,,
https://movie.douban.com/subject/1292326/,暴力街区,1292326,8,81317,
,,,,,
https://movie.douban.com/subject/1294007/,我的父亲母亲,1294007,7.9,75187,
,,,,,
https://movie.douban.com/subject/1293135/,101真狗,1293135,7.4,74778,
,,,,,
https://movie.douban.com/subject/1292229/,天生杀人狂,1292229,8,79918,
,,,,,
https://movie.douban.com/subject/3604148/,小丑回魂,3604148,7.3,95364,
,,,,,
https://movie.douban.com/subject/1292048/,蓝白红三部曲之蓝,1292048,8.5,73027,
,,,,,
https://movie.douban.com/subject/1829654/,憨豆的黄金周,1829654,7.9,79049,
,,,,,
https://movie.douban.com/subject/1292973/,小鸡快跑,1292973,7.5,74154,
,,,,,
https://movie.douban.com/subject/6900092/,建筑学概论,6900092,7.5,83626,
,,,,,
https://movie.douban.com/subject/1793912/,闪电狗,1793912,7.3,80462,
,,,,,
https://movie.douban.com/subject/5374383/,我的黑色小礼服,5374383,7.1,77546,
,,,,,
https://movie.douban.com/subject/3036997/,立春,3036997,8.1,76147,
,,,,,
https://movie.douban.com/subject/2357708/,死神来了4,2357708,6.3,78773,
,,,,,
https://movie.douban.com/subject/4826330/,炮友,4826330,6.6,79710,
,,,,,
https://movie.douban.com/subject/1390020/,那小子真帅,1390020,6.7,70496,
,,,,,
https://movie.douban.com/subject/1299765/,回魂夜,1299765,7.8,78952,
,,,,,
https://movie.douban.com/subject/1294950/,四个婚礼和一个葬礼,1294950,7.4,74420,
,,,,,
https://movie.douban.com/subject/1291582/,怪物史瑞克2,1291582,7.5,71322,
,,,,,
https://movie.douban.com/subject/1315316/,无间道风云,1315316,7.2,80609,
,,,,,
https://movie.douban.com/subject/3078517/,分手信,3078517,7,76831,
,,,,,
https://movie.douban.com/subject/1293167/,生死时速,1293167,8,76868,
,,,,,
https://movie.douban.com/subject/1297131/,圣诞夜惊魂,1297131,8.2,76343,
,,,,,
https://movie.douban.com/subject/1291588/,岁月的童话,1291588,8.5,78512,
,,,,,
https://movie.douban.com/subject/1293555/,电子情书,1293555,7.8,74817,
,,,,,
https://movie.douban.com/subject/26879060/,情圣,26879060,6,92568,
,,,,,
https://movie.douban.com/subject/26313973/,我是证人,26313973,6.1,90271,
,,,,,
https://movie.douban.com/subject/10772258/,麦兜·当当伴我心,10772258,8.4,81331,
,,,,,
https://movie.douban.com/subject/2063528/,盲山,2063528,8.4,77130,
,,,,,
https://movie.douban.com/subject/5908477/,鸿门宴传奇,5908477,6.3,84013,
,,,,,
https://movie.douban.com/subject/3777800/,月满轩尼诗,3777800,6.7,76938,
,,,,,
https://movie.douban.com/subject/1927369/,天使与魔鬼,1927369,7.2,78972,y
,,,,,
https://movie.douban.com/subject/1421809/,最好的时光,1421809,7.5,68227,
,,,,,
https://movie.douban.com/subject/3532614/,夺命金,3532614,7.2,80405,
,,,,,
https://movie.douban.com/subject/3804470/,分手说爱你,3804470,7.4,73798,
,,,,,
https://movie.douban.com/subject/1299080/,后窗,1299080,8.5,75529,
